,id,full_name,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
627,2426,Jerome Ruiz,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,85.0,Somewhat clean,Somewhat safe,Somewhat satisfied
629,3225,Todd Chase,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,2018-12-31,214.0,Somewhat clean,Somewhat safe,Neutral
630,1598,Gray Noel,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,150.0,Clean,Very safe,Somewhat satisfied
631,2552,Ann Sanchez,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,62.99999999999989,Somewhat clean,Neutral,Somewhat satisfied
632,2802,Mr. Alec Heath,Tuesday,SOUTHWEST,PHOENIX,West US,Hub     ,Gates 20-39,2018-12-31,120.0,Clean,Very safe,Somewhat satisfied
633,3128,Heidi Terry,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,74.9999999999999,Clean,Very safe,Very satisfied
634,945,Alana Velasquez,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,90.0,Somewhat clean,Somewhat safe,Somewhat satisfied
635,2564,Mr. Jared York,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,93.0,Somewhat clean,Somewhat safe,Somewhat satisfied
636,1707,Abbot Lester,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,210.0,Average,Very safe,Somewhat satisfied
637,2873,Dr. Fulton Turner,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,2018-12-31,180.0,Average,Very safe,Somewhat satisfied
638,2540,Dr. Maggie Cortez,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,62.99999999999989,Somewhat clean,Very safe,Somewhat satisfied
639,462,Ramona Wade,Sunday,ALASKA,LAS VEGAS,West US,Hub,Gates 50-59,2018-12-31,90.0,Clean,Very safe,Somewhat satisfied
640,1873,Dr. Lynn Thomas,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,205.0,Somewhat clean,Very safe,Somewhat satisfied
641,1016,Aquila Graham,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,155.0,Somewhat clean,Somewhat safe,Somewhat satisfied
642,370,Gareth Marks,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,    Small,Gates 50-59,2018-12-31,195.0,Somewhat clean,Somewhat safe,Somewhat satisfied
643,2151,Dolan Wolf,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,155.0,Clean,Very safe,Very satisfied
644,1872,Julie Coffey,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,295.0,Somewhat clean,Very safe,Somewhat satisfied
645,1576,Emerson Hatfield,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,2018-12-31,125.0,Somewhat clean,Very safe,Neutral
646,2541,Claire Rios,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,120.0,Somewhat clean,Very safe,Somewhat satisfied
647,1301,Christian Doyle,Thursday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,156.0,Somewhat clean,Somewhat safe,Very satisfied
648,3040,Haley Oliver,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub     ,Gates 50-59,2018-12-31,155.0,Somewhat clean,Very safe,Somewhat satisfied
649,1360,Rigel Day,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,Hub     ,Gates 91-102,2018-12-31,225.0,Average,Somewhat safe,Somewhat satisfied
650,2469,Clare Gould,Friday,UNITED,DENVER,West US,Hub,Gates 70-90,2018-12-31,121.0,Average,Very safe,Somewhat unsatisfied
651,543,Ms. Keiko Mcfarland,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,165.0,Somewhat clean,Very safe,Somewhat satisfied
652,2925,Duncan Chandler,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,2018-12-31,250.0,Clean,Very safe,Somewhat satisfied
653,2685,Penelope Stark,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,100.0,Somewhat clean,Very safe,Somewhat satisfied
654,2268,Kasper Shields,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,2018-12-31,155.0,Somewhat clean,Somewhat safe,Somewhat satisfied
656,2041,Dr. Rose Fleming,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,180.0,Average,Somewhat safe,Somewhat unsatisfied
657,2167,Miss Petra Mitchell,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-12-31,333.0,Clean,Very safe,Very satisfied
658,3088,Ms. Regan Lynch,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,2018-12-31,97.0000000000001,Clean,Very safe,Somewhat satisfied
659,2948,Keane Bennett,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,135.0,Clean,Very safe,Somewhat satisfied
660,443,Nash Head,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,2018-12-31,113.0,Clean,Somewhat safe,Somewhat satisfied
661,278,Ainsley Riley,Thursday,UNITED,BALTIMORE,EAST US,Medium     ,Gates 70-90,2018-12-31,134.0,Somewhat clean,Somewhat safe,Neutral
662,2457,Kirestin Newton,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub     ,Gates 60-69,2018-12-31,154.0,Clean,Very safe,Neutral
663,1526,Jakeem Hall,Wednesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,101.0,Somewhat clean,Somewhat safe,Neutral
664,2689,Reece Mitchell,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,150.0,Somewhat clean,Very safe,Neutral
665,3055,Wanda Walls,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,335.0,Average,Somewhat safe,Somewhat satisfied
666,2136,Barry Mccray,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,380.0,Clean,Neutral,Neutral
667,1450,Dr. Zahir Hardin,Wednesday,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,2018-12-31,82.0,Clean,Very safe,Very satisfied
668,2415,Graiden Cox,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,2018-12-31,190.0,Clean,Somewhat safe,Somewhat satisfied
669,729,Miss Lara Green,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,245.0,Somewhat clean,Somewhat safe,Neutral
670,2232,Felix Bell,Thursday,SOUTHWEST,SANTA ANA,West US,Medium,Gates 20-39,2018-12-31,60.0,Somewhat clean,Very safe,Somewhat satisfied
671,1452,Mr. Addison Day,Wednesday,UNITED,LAS VEGAS,West US,    Hub,Gates 60-69,2018-12-31,82.0,Clean,Very safe,Very satisfied
672,1705,Tallulah Guzman,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,225.0,Somewhat clean,Somewhat safe,Somewhat satisfied
673,1543,Jocelyn Guzman,Wednesday,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,170.0,Average,Very safe,Neutral
674,618,Ivory Miller,Tuesday,ALASKA,WASHINGTON DC-DULLES,EAST US,    Medium,Gates 50-59,2018-12-31,155.0,Clean,Very safe,Somewhat satisfied
675,1726,Mr. Eaton Vazquez,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,105.0,Clean,Very safe,Somewhat satisfied
676,2209,Silas Clemons,Thursday,SOUTHWEST,LAS VEGAS,West US,Hub     ,Gates 20-39,2018-12-31,135.0,Somewhat clean,Somewhat safe,Neutral
677,1786,Quinn Barry,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,2018-12-31,135.0,Somewhat clean,Very safe,Somewhat satisfied
678,2625,Orson Pratt,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,120.0,Somewhat clean,Very safe,Somewhat satisfied
679,1760,Constance Morse,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,145.0,Average,Somewhat safe,Somewhat satisfied
680,2732,Ms. Vanna Rivera,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,270.0,Somewhat clean,Somewhat safe,Neutral
681,711,Miss Venus Lowe,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Somewhat safe,Neutral
682,943,Amethyst Nieves,Thursday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,135.0,Somewhat clean,Very safe,Somewhat satisfied
684,1910,Miss Vivian Foreman,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,140.0,Somewhat clean,Neutral,Very satisfied
685,2027,Miss Wendy Griffin,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,150.0,Average,Very safe,Somewhat satisfied
688,365,Melodie Stuart,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,2018-12-31,105.0,Somewhat clean,Somewhat safe,Somewhat satisfied
689,3005,Dominic Shannon,Thursday,UNITED,NASHVILLE,Midwest US,Medium,Gates 70-90,2018-12-31,100.0,Average,Somewhat safe,Somewhat satisfied
690,1502,Quintessa Tillman,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,2018-12-31,150.0,Average,Somewhat safe,Somewhat satisfied
691,2621,Dr. Christine Nicholson,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,    Hub,Gates 1-12,2018-12-31,125.0,Clean,Very safe,Very satisfied
692,1639,Regina Clements,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,170.0,Clean,Very safe,Somewhat satisfied
693,2733,Colleen Harding,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,160.0,Clean,Somewhat safe,Neutral
694,2021,Kaitlin Cochran,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,160.0,Average,Neutral,Neutral
695,629,Molly Norton,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,140.0,Somewhat clean,Very safe,Somewhat satisfied
696,3026,Richard Lott,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,120.0,Clean,Very safe,Very satisfied
697,1671,Matthew Nguyen,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,125.0,Somewhat clean,Somewhat safe,Very satisfied
698,3248,Dr. Laith Decker,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,2018-12-31,74.9999999999999,Clean,Very safe,Very satisfied
699,684,Holly Austin,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,230.0,Somewhat clean,Very safe,Somewhat satisfied
701,1905,Jaden Gray,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,128.0,Somewhat clean,Neutral,Somewhat satisfied
703,774,Germaine Hurley,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,220.0,Somewhat clean,Very safe,Neutral
704,2917,Kyle Gay,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,14.9999999999999,Clean,Very safe,Very satisfied
705,1459,Zachery Diaz,Saturday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,2018-12-31,84.9999999999999,Clean,Neutral,Very satisfied
706,1178,Carolyn Hartman,Tuesday,SOUTHWEST,LAS VEGAS,West US,    Hub,Gates 20-39,2018-12-31,115.0,Somewhat clean,Very safe,Somewhat satisfied
707,2691,Miss Alana Grant,Friday,UNITED,ORLANDO,East US,Hub,Gates 70-90,2018-12-31,367.0,Average,Neutral,Neutral
708,857,Idola Acosta,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,154.0,Clean,Somewhat safe,Somewhat satisfied
709,3148,Dara English,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,59.99999999999989,Somewhat clean,Somewhat safe,Somewhat satisfied
710,1519,Miss Aurora Flores,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,115.0,Somewhat clean,Very safe,Somewhat satisfied
711,1126,Henry Sloan,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,105.0,Average,Very safe,Somewhat satisfied
712,3269,Jared Chase,Tuesday,UNITED,LAS VEGAS,West US,    Hub,Gates 70-90,2018-12-31,85.0000000000002,Average,Somewhat safe,Neutral
714,1960,Xavier Castro,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,165.0,Somewhat clean,Neutral,Neutral
715,2545,Holmes Fowler,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,83.0,Somewhat clean,Very safe,Neutral
718,2582,Lucy Noel,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,90.0,Somewhat clean,Somewhat safe,Neutral
719,358,Kerry Tucker,Friday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,80.0,Somewhat clean,Somewhat safe,Neutral
720,2912,Garrison Barrett,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,59.99999999999989,Somewhat clean,Somewhat safe,Somewhat satisfied
721,2030,Stephanie Cannon,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat unsatisfied
722,2242,Dr. Charlotte Savage,Wednesday,WOW,REYKJAVIK,eur,Small     ,Gates 91-102,2018-12-31,156.0,Somewhat clean,Somewhat safe,Neutral
723,2556,Lane Clements,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,108.0,Somewhat clean,Somewhat safe,Neutral
724,853,Aimee Whitfield,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,85.0000000000002,Somewhat clean,Somewhat safe,Very satisfied
725,3168,Martena Neal,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,110.0,Clean,Somewhat safe,Very satisfied
726,2234,Xandra Hartman,Thursday,SOUTHWEST,SANTA ANA,West US,Medium,Gates 20-39,2018-12-31,60.0,Clean,Very safe,Somewhat satisfied
727,2765,Meredith Gutierrez,Sunday,WOW,REYKJAVIK,eur,Small     ,Gates 1-12,2018-12-31,175.0,Somewhat clean,Very safe,Somewhat satisfied
728,3092,Mr. Kermit Deleon,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,2018-12-31,173.0,Average,Somewhat safe,Neutral
729,285,Derek Terrell,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,2018-12-31,164.0,Average,Somewhat safe,Neutral
730,1480,Shaeleigh Mccarthy,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,130.0,Somewhat clean,Somewhat safe,Somewhat satisfied
731,3175,Burke Leon,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,60.0,Clean,Very safe,Somewhat satisfied
732,2770,Mr. Clinton Holmes,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,90.0,Somewhat clean,Very safe,Somewhat satisfied
733,3033,Whoopi Tillman,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat satisfied
734,1661,Hamilton Gardner,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,150.0,Average,Neutral,Very satisfied
735,2634,Graiden Bridges,Tuesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,60.0,Somewhat clean,Somewhat safe,Neutral
736,1987,Sheila Robinson,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,2018-12-31,145.0,Average,Neutral,Neutral
737,1861,Cameron Barlow,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,145.0,Somewhat clean,Very safe,Somewhat satisfied
738,1278,Kasimir Irwin,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,2018-12-31,320.0,Average,Somewhat safe,Somewhat satisfied
739,1841,Ms. Lilah Chen,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub     ,Gates 91-102,2018-12-31,300.0,Clean,Very safe,Very satisfied
740,341,Judith Price,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,2018-12-31,98.0,Clean,Somewhat safe,Somewhat satisfied
741,1978,Dane Barker,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,2018-12-31,155.0,Clean,Somewhat safe,Very satisfied
743,319,Micah Bullock,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,59.99999999999989,Clean,Neutral,Very satisfied
744,1636,Leonard Stevens,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,2018-12-31,195.0,Clean,Very safe,Somewhat satisfied
745,3292,Ms. Beverly Hampton,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,145.0,Clean,Very safe,Very satisfied
746,3203,Devin Morrison,Tuesday,UNITED,ONTARIO (CALIF),West US,Small,Gates 70-90,2018-12-31,245.0,Clean,Very safe,Very satisfied
747,1898,Mr. Jordan Cooke,Monday,LUFTHANSA,MUNICH,eur,    Hub,Gates 91-102,2018-12-31,235.0,Somewhat dirty,Neutral,Neutral
748,633,Miss Ann Hale,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,95.0,Somewhat clean,Somewhat safe,Neutral
749,1385,Graiden Riddle,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,235.0,Clean,Very safe,Very satisfied
751,2069,Julian Stanley,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,2018-12-31,177.0,Clean,Somewhat safe,Somewhat satisfied
752,299,Christine Carter,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,130.0,Average,Neutral,Neutral
753,2730,Hasad Valentine,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,2018-12-31,122.0,Somewhat clean,Very safe,Somewhat satisfied
754,1676,Bevis Mcdowell,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Very safe,Somewhat satisfied
755,3282,Alec Davis,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,80.0,Somewhat clean,Very safe,Somewhat satisfied
756,2112,Dr. Daniel Hood,Tuesday,AMERICAN,PHOENIX,West US,    Hub,Gates 50-59,2018-12-31,121.0,Somewhat clean,Very safe,Very satisfied
757,1986,Ms. Britanney Schmidt,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,2018-12-31,145.0,Average,Somewhat safe,Somewhat satisfied
758,2595,Wanda Jackson,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,147.0,Somewhat clean,Somewhat safe,Somewhat satisfied
759,814,Quyn Henderson,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,2018-12-31,185.0,Clean,Very safe,Very satisfied
760,2551,Hammett Duncan,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,135.0,Average,Very safe,Neutral
761,1965,Duncan Stark,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Somewhat safe,Somewhat satisfied
762,2640,Jin Shannon,Tuesday,JETBLUE,NEW YORK-JFK,EAST US,    Hub,Gates 1-12,2018-12-31,113.0,Average,Somewhat safe,Very unsatisfied
763,395,Fulton Meadows,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,205.0,Somewhat clean,Very safe,Somewhat satisfied
764,728,Dr. Malik Hanson,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,    Hub,Gates 1-12,2018-12-31,185.0,Clean,Very safe,Very satisfied
765,1215,Laith Espinoza,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,55.00000000000011,Clean,Somewhat safe,Somewhat satisfied
766,2314,Dr. Jared Holman,Tuesday,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,2018-12-31,150.0,Clean,Somewhat safe,Somewhat satisfied
767,1718,Julie Davidson,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,210.0,Average,Somewhat safe,Neutral
768,2383,Dr. Jane Harrell,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,    Hub,Gates 91-102,2018-12-31,215.0,Clean,Very safe,Somewhat satisfied
769,584,Aphrodite Shannon,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,95.0,Clean,Neutral,Somewhat satisfied
770,1770,Jermaine Randall,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,    Hub,Gates 50-59,2018-12-31,85.0,Clean,Very safe,Somewhat satisfied
771,642,Hammett Talley,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,125.0,Somewhat clean,Neutral,Neutral
772,1865,Sasha Riggs,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,505.0,Clean,Somewhat safe,Somewhat satisfied
773,2100,Dr. Damian Wynn,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,49.0,Somewhat clean,Very safe,Somewhat satisfied
774,2647,Aidan Macias,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,132.0,Somewhat clean,Neutral,Neutral
775,1982,Sawyer Hines,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,    Hub,Gates 1-12,2018-12-31,265.0,Average,Somewhat safe,Neutral
776,1973,Mr. Hector Caldwell,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,125.0,Clean,Very safe,Very satisfied
777,310,Abra Webb,Tuesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,2018-12-31,95.0000000000001,Clean,Very safe,Somewhat satisfied
778,2386,Stone Price,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,2018-12-31,215.0,Somewhat clean,Very safe,Very satisfied
779,295,Cheyenne Stout,Wednesday,SOUTHWEST,LOS ANGELES,West US,    Hub,Gates 20-39,2018-12-31,190.0,Average,Neutral,Neutral
780,2301,Lareina Wall,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,175.0,Somewhat clean,Somewhat safe,Somewhat satisfied
781,1253,Dr. Ella Pena,Thursday,CHINA EASTERN,SHANGHAI,Asia,Hub,Gates 1-12,2018-12-31,195.0,Somewhat clean,Somewhat safe,Very satisfied
782,1649,Quintessa Sherman,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,170.0,Somewhat clean,Very safe,Somewhat satisfied
783,3279,Ishmael Duffy,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,125.0,Somewhat clean,Neutral,Somewhat satisfied
784,863,Ms. Willa Stuart,Tuesday,ALASKA,SEATTLE,West US,Hub     ,Gates 50-59,2018-12-31,65.0000000000001,Somewhat clean,Very safe,Neutral
785,2771,Gareth Hunt,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,2018-12-31,150.0,Somewhat clean,Very safe,Somewhat satisfied
786,1547,Stewart Jacobs,Wednesday,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,240.0,Clean,Somewhat safe,Somewhat satisfied
787,750,Ms. Amaya Pate,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub     ,Gates 91-102,2018-12-31,235.0,Somewhat clean,Somewhat safe,Somewhat satisfied
788,2285,Dr. Xavier Medina,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,225.0,Somewhat clean,Somewhat safe,Neutral
789,3214,Mr. Marvin Mcneil,Tuesday,UNITED,SANTA BARBARA,West US,Small,Gates 70-90,2018-12-31,75.0000000000001,Somewhat clean,Somewhat safe,Neutral
790,2172,Imogene Harris,Wednesday,FRONTIER,DENVER,West US,    Hub,Gates 20-39,2018-12-31,153.0,Clean,Somewhat safe,Somewhat satisfied
791,576,Abbot Hensley,Thursday,JETBLUE,BOSTON,EAST US,    Large,Gates 1-12,2018-12-31,112.0,Somewhat clean,Somewhat safe,Very satisfied
792,404,Miss Fiona Velez,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,2018-12-31,84.9999999999999,Clean,Somewhat safe,Somewhat satisfied
794,2254,Rinah Stephenson,Wednesday,UNITED,LOS ANGELES,West US,    Hub,Gates 60-69,2018-12-31,185.0,Clean,Very safe,Very satisfied
795,682,Ms. Olivia Keith,Thursday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,125.0,Somewhat clean,Somewhat safe,Neutral
796,2028,Vielka Rosario,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,95.0,Somewhat clean,Somewhat safe,Very satisfied
798,854,Lani Sawyer,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,109.0,Somewhat clean,Very safe,Very satisfied
799,1675,Clayton Sparks,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,85.0,Somewhat clean,Very safe,Somewhat satisfied
800,1604,Oprah Ingram,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,320.0,Somewhat clean,Somewhat safe,Somewhat satisfied
801,534,Acton Smith,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,225.0,Clean,Very safe,Somewhat satisfied
802,2829,Demetria Byrd,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,2018-12-31,93.0,Somewhat clean,Very safe,Somewhat satisfied
803,1822,Patience Galloway,Monday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,2018-12-31,215.0,Clean,Very safe,Somewhat satisfied
805,1948,Hoyt Alvarez,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,115.0,Somewhat clean,Neutral,Neutral
806,2950,Dara Pennington,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,115.0,Average,Somewhat safe,Neutral
807,2508,Ebony Davidson,Saturday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,100.0,Somewhat clean,Very safe,Somewhat satisfied
